Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1864,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1285010845.46629
1865,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4565170.20120961
1865,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,10763674.339129
1865,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,19499961.0097029
1865,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,21430310.6409685
1865,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,963020.628611529
1865,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,968975.372328396
1865,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1865,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1865,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1865,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1865,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2100103380.41988
1865,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1343602432.58464
1866,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4441805.94552522
1866,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,10321230.0341952
1866,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,19394508.3256998
1866,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,21343760.0055707
1866,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,969638.324239364
1866,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,975378.75392584
1866,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1866,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1866,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1866,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1866,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2093030166.13584
1866,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1349214112.86321
1867,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4545399.02454279
1867,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,10402958.1295926
1867,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,20294549.27826
1867,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,22356885.3972567
1867,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1026924.6287287
1867,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1032232.23614268
1867,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1867,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1867,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1867,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1867,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2194934962.16308
1867,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1425696924.06697
1868,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4209292.00995543
1868,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9482769.02500796
1868,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,19224553.7260072
1868,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,21191716.2459575
1868,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,984341.531334043
1868,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,988210.584203037
